County Code,County Name,District Code,District Name,School Code,School Name,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,PK-12 Count,
51,PUEBLO,2690,PUEBLO CITY 60,0756,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,37,0,63,71,71,69,45,53,0,0,0,0,0,0,0,409,
51,PUEBLO,2690,PUEBLO CITY 60,0822,BESSEMER ELEMENTARY SCHOOL,51,0,39,43,34,45,50,41,0,0,0,0,0,0,0,303,
51,PUEBLO,2690,PUEBLO CITY 60,0860,BEULAH HEIGHTS ELEMENTARY SCHOOL,15,0,69,59,52,73,53,52,0,0,0,0,0,0,0,373,
51,PUEBLO,2690,PUEBLO CITY 60,0954,BRADFORD ELEMENTARY SCHOOL,54,0,57,59,59,74,48,37,0,0,0,0,0,0,0,388,
51,PUEBLO,2690,PUEBLO CITY 60,1304,CARLILE ELEMENTARY SCHOOL,21,0,31,47,41,54,33,49,0,0,0,0,0,0,0,276,
51,PUEBLO,2690,PUEBLO CITY 60,1402,CENTENNIAL HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,303,336,285,281,1205,
51,PUEBLO,2690,PUEBLO CITY 60,1454,CENTRAL HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,275,190,161,188,814,
51,PUEBLO,2690,PUEBLO CITY 60,1488,CHAVEZ/HUERTA K-12 PREPARATORY ACADEMY,0,0,94,72,100,94,100,82,81,87,85,63,58,45,39,1000,
51,PUEBLO,2690,PUEBLO CITY 60,1504,GOODNIGHT ELEMENTARY SCHOOL,29,0,71,88,86,111,90,106,80,34,28,0,0,0,0,723,
51,PUEBLO,2690,PUEBLO CITY 60,1828,COLUMBIAN ELEMENTARY SCHOOL,58,0,55,55,60,67,47,48,0,0,0,0,0,0,0,390,
51,PUEBLO,2690,PUEBLO CITY 60,2096,CORWIN INTERNATIONAL MAGNET SCHOOL,0,0,0,0,0,0,110,112,139,144,145,0,0,0,0,650,
51,PUEBLO,2690,PUEBLO CITY 60,2394,EAST HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,333,273,284,276,1166,
51,PUEBLO,2690,PUEBLO CITY 60,2438,EVA R BACA ELEMENTARY SCHOOL,26,0,52,43,43,72,56,49,0,0,0,0,0,0,0,341,
51,PUEBLO,2690,PUEBLO CITY 60,2620,FOUNTAIN INTERNATIONAL MAGNET SCHOOL,0,0,99,100,99,102,0,0,0,0,0,0,0,0,0,400,
51,PUEBLO,2690,PUEBLO CITY 60,3206,HEROES MIDDLE SCHOOL,0,0,0,0,0,0,0,0,85,94,92,0,0,0,0,271,
